ZoneID,ToZoneID,Latitude,Longitude,Distance,Band
124,84,52.608632,-1.3870115,103.233021,100
124,85,51.040172,-0.94063138,101.1402425,100
124,86,50.857872,-1.6315641,142.2263819,150
124,87,51.258441,-1.0947258,84.20084416,75
124,88,51.133886,-1.5059904,112.6645273,125
124,89,51.026457,-1.2438248,111.6477071,100
124,90,51.543914,-0.43918647,38.6400262,50
124,91,52.110766,-2.7398073,160.5854232,150
124,92,51.88065,-0.099732385,22.61694409,25
124,93,51.735915,-0.30190589,19.33438388,25
124,94,51.727716,-0.4814434,18.55856193,25
124,95,57.588221,-4.6602743,689.7616918,700
124,96,53.278489,-4.3685632,308.3496182,300
124,97,50.671307,-1.3282522,149.5073875,150
124,98,52.437,-0.75988361,64.82451649,75
124,99,53.765937,-0.33133554,208.6797719,200
124,100,53.642381,-1.7906204,215.4145232,225
124,101,53.430802,-2.8332774,236.20443,225
124,102,51.091948,0.90501965,128.3504117,125
124,103,51.248977,1.1919614,133.1035937,125
124,104,51.24609,0.52378564,97.48215127,100
124,105,53.822847,-1.5450592,227.6744857,225
124,106,52.636095,-1.1309601,95.75495456,100
124,107,53.903178,-2.348104,258.4089981,250
124,108,53.719675,-2.2885928,238.9617275,250
124,109,53.638276,-2.7802811,250.9118163,250
124,110,54.07877,-2.6913286,286.8796761,275
124,111,52.770757,-1.4217489,118.9970126,125
124,112,52.587247,-1.0930768,89.77092141,100
124,113,53.249743,-0.23342218,151.7159956,150
124,114,52.869323,-0.012382832,112.4337448,100
124,115,52.848932,-0.50670652,106.6799209,100
124,116,53.400755,-2.9129162,237.6116031,250
124,117,51.49416,-0.12427641,48.89998087,50
124,118,51.627142,-0.1590634,34.74395178,25
124,119,51.564414,0.13681151,53.32110206,50
124,120,51.354375,-0.0791637,64.41230452,75
124,121,51.401826,0.068982531,64.38793629,75
124,122,51.406457,-0.25360591,55.25412662,50
124,123,51.532148,-0.32283524,40.59509021,50
124,124,51.89121,-0.42783744,0,0
124,125,53.278049,-2.2475595,197.47932,200
124,126,52.812195,-0.85416102,106.4905421,100
124,127,52.061802,-0.40741293,19.02877056,25
124,128,54.546392,-1.2109664,299.9984815,300
124,129,51.768988,-2.9026301,171.0820765,175
124,130,53.505193,-2.3186587,220.3592453,225
124,131,55.821305,-3.1079024,471.3922008,475
124,132,52.083391,-0.74043165,30.29739423,25
124,133,51.669508,-3.7472281,230.3140135,225
124,134,51.575505,-2.963122,178.5688425,175
124,135,53.535359,-0.13874092,183.9642079,175
124,136,53.58541,-0.58180055,188.7729407,200
124,137,51.396835,-2.7918913,172.5726918,175
124,138,52.561382,-1.6242395,110.6164314,100
124,139,52.953645,-1.1667638,128.4278997,125
124,140,52.501007,-1.4796809,98.84604326,100
124,141,54.977911,-1.6042217,352.194406,350
124,142,52.664658,1.2261942,141.9446508,150
124,143,52.683596,0.63288955,114.0595357,125
124,144,55.883684,-3.9537938,500.9028723,500
124,145,54.251429,-1.3413861,269.619604,275
124,146,54.282636,-0.73699003,266.8718282,275
124,147,54.196329,-1.8779744,274.2456335,275
124,148,52.226932,-1.0178316,55.05662003,50
124,149,55.493133,-1.9473639,413.1070543,425
124,150,55.143162,-1.7399081,372.1112311,375
124,151,55.075222,-2.2449481,374.1780883,375
124,152,53.350538,-0.97845631,166.5721522,175
124,153,53.175473,-1.1781529,151.6629721,150
124,154,53.109364,-0.92406569,139.6396977,150
124,155,52.945709,-1.0450904,124.5924101,125
124,156,53.032072,-1.25544,138.8122873,150
124,157,53.552537,-2.0482769,214.7807991,225
124,158,51.753525,-1.2394985,58.00545051,50
124,159,51.925865,-1.3820137,65.75752971,75
124,160,51.638223,-1.2829723,65.38382632,75
124,161,51.855366,-4.8990199,307.8392616,300
124,162,50.740807,-1.9657793,166.905336,175
124,163,52.34389,-3.4351733,211.9784069,200
124,164,56.539372,-3.8994538,564.4212957,575
124,165,52.603089,-0.25474139,80.0723925,75
124,166,50.392368,-4.1124463,306.9304332,300
124,167,50.818326,-1.0696442,127.425602,125
124,168,53.856118,-2.8282211,271.7868688,275
124,169,54.56708,-0.99503762,300.1124016,300
124,170,53.607395,-2.1449745,223.3344512,225
124,171,53.408489,-1.2820255,178.4094934,175
124,172,52.64191,-0.62708232,84.61153215,75
124,173,51.451612,-0.99079074,62.50397607,75
124,174,55.837199,-4.5689159,516.475887,525
124,175,52.393824,-1.3181732,82.69619321,75
124,176,52.514906,-2.0077811,128.3428198,125
124,177,53.567704,-3.0679452,257.9808199,250
124,178,53.78271,-1.1279856,215.6512848,225
124,179,53.402943,-1.5603024,184.8015289,175
124,180,52.662841,-2.7737459,181.6111939,175
124,181,52.430988,-1.7323921,107.5596534,100
124,182,51.896651,-0.52009757,6.378487673,0
124,183,52.822126,-1.5349766,128.0980001,125
124,184,51.54676,-2.4630228,145.719864,150
124,185,53.457191,-2.7006305,232.2817114,225
124,186,52.847888,-2.1749745,159.6053845,150
124,187,53.389914,-2.1176342,202.1551704,200
124,188,54.554563,-1.3066721,302.0662194,300
124,189,54.87175,-1.4583633,338.6158637,350
124,190,51.656169,-4.0770246,253.1311052,250
124,191,51.587322,-1.733721,96.30223537,100
124,192,52.865762,-2.7688556,192.7247588,200
124,193,52.52235,-2.7349584,172.5779775,175
124,194,51.074083,-2.6696515,180.2534262,175
124,195,51.108266,-3.2722365,215.782355,225
124,196,55.30146,-4.7340931,474.38596,475
124,197,55.569299,-3.831139,466.6618852,475
124,198,52.604645,-2.2595262,148.1070785,150
124,199,51.668039,-3.3279011,201.6013998,200
124,200,51.716457,-3.1342315,187.6175083,200
124,201,50.914008,-1.4005122,128.0274626,125
124,202,51.930289,0.2941856,49.86781778,50
124,203,56.254927,-4.2096012,544.7953016,550
124,204,53.050444,-2.12409,172.9273386,175
124,205,52.250071,1.1914051,117.9859841,125
124,206,52.25655,0.64958546,84.30903705,75
124,207,51.240637,-0.18939242,74.23145396,75
124,208,51.374584,-0.53985136,57.98725571,50
